0 6 17 25
0 6 18 21
0 6 18 24
0 6 19 22
0 6 19 25
0 6 20 23
0 6 20 26
0 6 21 24
0 6 22 25
0 6 23 26
0 7 9 14
0 7 9 16
0 7 9 18
0 7 9 23
0 7 9 25
0 7 10 12
0 7 10 17
0 7 10 20
0 7 10 22
0 7 10 24
0 7 11 13
0 7 11 15
0 7 11 19
0 7 11 21
0 7 11 26
0 7 12 17
0 7 12 20
0 7 12 22
0 7 12 24
0 7 13 15
0 7 13 19
0 7 13 21
0 7 13 26
0 7 14 16
0 7 14 18
0 7 14 23
0 7 14 25
0 7 15 19
0 7 15 21
0 7 15 26
0 7 16 18
0 7 16 23
0 7 16 25
0 7 17 20
0 7 17 22
0 7 17 24
0 7 18 23
0 7 18 25
0 7 19 21
0 7 19 26
0 7 20 22
0 7 20 24
0 7 21 26
0 7 22 24
0 7 23 25
0 8 9 13
0 8 9 17
0 8 9 18
0 8 9 22
0 8 9 26
0 8 10 14
0 8 10 15
0 8 10 20
0 8 10 21
0 8 10 25
0 8 11 12
0 8 11 16
0 8 11 19
0 8 11 23
0 8 11 24
0 8 12 16
0 8 12 19
0 8 12 23
0 8 12 24
0 8 13 17
0 8 13 18
0 8 13 22
0 8 13 26
0 8 14 15
0 8 14 20
0 8 14 21
0 8 14 25
0 8 15 20
0 8 15 21
0 8 15 25
0 8 16 19
0 8 16 23
0 8 16 24
0 8 17 18
0 8 17 22
0 8 17 26
0 8 18 22
0 8 18 26
0 8 19 23
0 8 19 24
0 8 20 21
0 8 20 25
0 8 21 25
0 8 22 26
0 8 23 24
0 9 10 11
0 9 10 18
0 9 10 19
0 9 10 20
0 9 11 18
0 9 11 19
0 9 11 20
0 9 12 15
0 9 12 18
0 9 12 21
0 9 12 24
0 9 13 17
0 9 13 18
0 9 13 22
0 9 13 26
0 9 14 16
0 9 14 18
0 9 14 23
0 9 14 25
0 9 15 18
0 9 15 21
0 9 15 24
0 9 16 18
0 9 16 23
0 9 16 25
0 9 17 18
0 9 17 22
0 9 17 26
0 9 18 19
0 9 18 20
0 9 18 21
0 9 18 22
0 9 18 23
0 9 18 24
0 9 18 25
0 9 18 26
0 9 19 20
0 9 21 24
0 9 22 26
0 9 23 25
0 10 11 18
0 10 11 19
0 10 11 20
0 10 12 17
0 10 12 20
0 10 12 22
0 10 12 24
0 10 13 16
0 10 13 20
0 10 13 23
0 10 13 26
0 10 14 15
0 10 14 20
0 10 14 21
0 10 14 25
0 10 15 20
0 10 15 21
0 10 15 25
0 10 16 20
0 10 16 23
0 10 16 26
0 10 17 20
0 10 17 22
0 10 17 24
0 10 18 19
0 10 18 20
0 10 19 20
0 10 20 21
0 10 20 22
0 10 20 23
0 10 20 24
0 10 20 25
0 10 20 26
0 10 21 25
0 10 22 24
0 10 23 26
0 11 12 16
0 11 12 19
0 11 12 23
0 11 12 24
0 11 13 15
0 11 13 19
0 11 13 21
0 11 13 26
0 11 14 17
0 11 14 19
0 11 14 22
0 11 14 25
0 11 15 19
0 11 15 21
0 11 15 26
0 11 16 19
0 11 16 23
0 11 16 24
0 11 17 19
0 11 17 22
0 11 17 25
0 11 18 19
0 11 18 20
0 11 19 20
0 11 19 21
0 11 19 22
0 11 19 23
0 11 19 24
0 11 19 25
0 11 19 26
0 11 21 26
0 11 22 25
0 11 23 24
0 12 13 14
0 12 13 24
0 12 13 25
0 12 13 26
0 12 14 24
0 12 14 25
0 12 14 26
0 12 15 18
0 12 15 21
0 12 15 24
0 12 16 19
0 12 16 23
0 12 16 24
0 12 17 20
0 12 17 22
0 12 17 24
0 12 18 21
0 12 18 24
